personid,race,gender,drivercity,driverstate,dlstate,policeid,vehicleid,age,,,,,,,,,,,,,,,,,,,,,
p1112,BLACK,M,ABILENE,TX,TX,1120,v3214,64,,,,,,,,,,,,,,,,,,,,,
p1120,WHITE,M,ABELL,MD,MD,1100,v1234,46,,,,,,,,,,,,,,,,,,,,,
p1125,WHITE,M,ABINGDON,MD,MD,1118,v3215,54,,,,,,,,,,,,,,,,,,,,,
p1130,BLACK,F,ADELPHI,MD,MD,1126,v2999,27,,,,,,,,,,,,,,,,,,,,,
p1131,WHITE,M,ADELPHI,MD,MD,1106,v1541,54,,,,,,,,,,,,,,,,,,,,,
p1144,WHITE,M,ABINGDON,MD,MD,1150,v3216,59,,,,,,,,,,,,,,,,,,,,,
p1147,BLACK,F,ADELPHI,MD,MD,1128,v1833,67,,,,,,,,,,,,,,,,,,,,,
p1154,HISPANIC,M,ADELPHI,MD,XX,1142,v2671,47,,,,,,,,,,,,,,,,,,,,,
p1157,BLACK,F,ADELPHI,MD,MD,1100,v1834,42,,,,,,,,,,,,,,,,,,,,,
p1159,WHITE,F,ABERDEEN,NC,NC,1104,v1235,30,,,,,,,,,,,,,,,,,,,,,
p1173,WHITE,M,ADAMSTOWN,MD,MD,1158,v3367,52,,,,,,,,,,,,,,,,,,,,,
p1179,HISPANIC,M,ADELPHI,MD,MD,1104,v1835,60,,,,,,,,,,,,,,,,,,,,,
p1181,BLACK,F,ADELPHI,MD,MD,1108,v1836,23,,,,,,,,,,,,,,,,,,,,,
p1188,HISPANIC,M,ADELPHI,MD,MD,1148,v2672,50,,,,,,,,,,,,,,,,,,,,,
p1202,WHITE,F,ABERDEEN,NC,NC,1108,v1236,66,,,,,,,,,,,,,,,,,,,,,
p1203,OTHER,M,ADELPHI,MD,MD,1128,v2673,41,,,,,,,,,,,,,,,,,,,,,
p1215,WHITE,F,ADELPHI,MD,MD,1126,v1542,48,,,,,,,,,,,,,,,,,,,,,
p1220,BLACK,M,ABINGDON,MD,MD,1158,v3217,68,,,,,,,,,,,,,,,,,,,,,
p1231,BLACK,F,ADELPHI,MD,MD,1110,v1837,26,,,,,,,,,,,,,,,,,,,,,
p1234,WHITE,F,ABERDEEN,NC,NC,1110,v1237,48,,,,,,,,,,,,,,,,,,,,,
p1247,WHITE,F,ABERDEEN,MD,MD,1112,v1238,54,,,,,,,,,,,,,,,,,,,,,
p1249,WHITE,M,ADELPHI,MD,KY,1114,v1543,43,,,,,,,,,,,,,,,,,,,,,
p1287,BLACK,F,ADELPHI,MD,MD,1112,v1838,69,,,,,,,,,,,,,,,,,,,,,
p1289,BLACK,F,ADELPHI,MD,MD,1130,v1839,62,,,,,,,,,,,,,,,,,,,,,
p1292,WHITE,M,ADELPHI,MD,KY,1122,v1544,65,,,,,,,,,,,,,,,,,,,,,
p1301,WHITE,M,ADELPHI,MD,KY,1134,v1545,57,,,,,,,,,,,,,,,,,,,,,
p1305,WHITE,F,ADELPHI,MD,MD,1116,v1546,64,,,,,,,,,,,,,,,,,,,,,
p1308,WHITE,F,ADAMSTOWN,MD,MD,1152,v3368,18,,,,,,,,,,,,,,,,,,,,,
p1309,HISPANIC,M,ADELPHI,MD,XX,1100,v2674,65,,,,,,,,,,,,,,,,,,,,,
p1310,BLACK,M,ABINGDON,MD,MD,1152,v3218,54,,,,,,,,,,,,,,,,,,,,,
p1311,BLACK,M,ABINGDON,MD,MD,1154,v3219,69,,,,,,,,,,,,,,,,,,,,,
p1321,OTHER,M,ADELPHI,MD,MD,1104,v2675,27,,,,,,,,,,,,,,,,,,,,,
p1331,BLACK,F,ADELPHI,MD,MD,1102,v1840,29,,,,,,,,,,,,,,,,,,,,,
p1336,WHITE,M,ABILENE,TX,TX,1130,v1239,63,,,,,,,,,,,,,,,,,,,,,
p1338,BLACK,F,ADELPHI,MD,MD,1106,v1841,23,,,,,,,,,,,,,,,,,,,,,
p1339,BLACK,M,ADELPHI,MD,MD,1114,v3000,26,,,,,,,,,,,,,,,,,,,,,
p1343,WHITE,M,ABILENE,TX,TX,1102,v1240,66,,,,,,,,,,,,,,,,,,,,,
p1344,BLACK,F,ADELPHI,MD,MD,1126,v1842,69,,,,,,,,,,,,,,,,,,,,,
p1358,HISPANIC,M,ADELPHI,MD,XX,1108,v2676,27,,,,,,,,,,,,,,,,,,,,,
p1371,HISPANIC,M,ADELPHI,MD,MD,1114,v1843,61,,,,,,,,,,,,,,,,,,,,,
p1377,OTHER,M,ADELPHI,MD,MD,1110,v2677,32,,,,,,,,,,,,,,,,,,,,,
p1378,BLACK,F,ADELPHI,MD,MD,1122,v1844,25,,,,,,,,,,,,,,,,,,,,,
p1381,HISPANIC,M,ADELPHI,MD,MD,1112,v2678,51,,,,,,,,,,,,,,,,,,,,,
p1385,BLACK,M,ABINGDON,MD,MD,1106,v1241,61,,,,,,,,,,,,,,,,,,,,,
p1399,BLACK,M,ADELPHI,MD,MD,1134,v1845,42,,,,,,,,,,,,,,,,,,,,,
p1409,BLACK,M,ADELPHI,MD,MD,1116,v1846,51,,,,,,,,,,,,,,,,,,,,,
