vehicleid,vehicletype,year,make,model,color,personid
v1234,02 - Automobile,1998,PONTIAC,2DR,RED,p1112
v1235,02 - Automobile,1998,PONTIAC,2DR,RED,p1120
v1236,02 - Automobile,1999,TOYOTA,CAMRY,MAROON,p1125
v1237,02 - Automobile,1999,TOYOTA,CAMRY,MAROON,p1130
v1238,02 - Automobile,1999,TOYOTA,CAMRY,MAROON,p1131
v1239,02 - Automobile,1999,TOYOTA,CAMRY,MAROON,p1144
v1240,02 - Automobile,1999,TOYOTA,CAMRY,MAROON,p1147
v1241,02 - Automobile,1998,PONTIAC,2DR,RED,p1154
v1242,02 - Automobile,1998,PONTIAC,2DR,RED,p1157
v1243,02 - Automobile,1998,PONTIAC,2DR,RED,p1159
v1244,02 - Automobile,2006,NISS,ALTIMA,GREEN,p1173
v1245,02 - Automobile,1998,PONTIAC,2DR,RED,p1179
v1246,02 - Automobile,2003,MERCEDES,4S,GRAY,p1181
v1247,02 - Automobile,2003,MERCEDES,4S,GRAY,p1188
v1248,02 - Automobile,2003,MERCEDES,4S,GRAY,p1202
v1249,02 - Automobile,2012,CHEVROLET,SILVERADO,WHITE,p1203
v1250,02 - Automobile,2014,DODGE,RAM VAN,WHITE,p1215
v1251,05 - Light Duty Truck,2001,CHEVROLET,EXPRESS,RED,p1220
v1252,05 - Light Duty Truck,2001,CHEVROLET,EXPRESS,RED,p1231
v1253,06 - Heavy Duty Truck,2010,FORD,TRUCK,GRAY,p1234
v1254,02 - Automobile,2010,VOLK,JETTA 4S,RED,p1247
v1255,02 - Automobile,2010,VOLK,JETTA 4S,RED,p1249
v1256,02 - Automobile,2005,CHEVROLET,SUBURBAN,RED,p1287
v1257,02 - Automobile,2005,CHEVROLET,SUBURBAN,RED,p1289
v1258,02 - Automobile,2005,CHEVROLET,SUBURBAN,RED,p1292
v1259,02 - Automobile,2005,CHEVROLET,SUBURBAN,RED,p1301
v1260,28 - Other,1998,CHEVROLET,P/U TK,WHITE,p1305
v1261,28 - Other,1998,CHEVROLET,P/U TK,WHITE,p1308
v1262,02 - Automobile,1995,JEEP,SU,RED,p1309
v1263,02 - Automobile,2013,HYUN,VELOSTER,SILVER,p1310
v1264,02 - Automobile,2013,DODGE,CHALLENGER,GRAY,p1311
v1265,02 - Automobile,2013,DODGE,CHALLENGER,GRAY,p1321
v1266,02 - Automobile,2013,DODGE,CHALLENGER,GRAY,p1331
v1267,02 - Automobile,2013,DODGE,CHALLENGER,GRAY,p1336
v1268,02 - Automobile,2013,DODGE,CHALLENGER,GRAY,p1338
v1269,02 - Automobile,2013,DODGE,CHALLENGER,GRAY,p1339
v1270,02 - Automobile,2013,DODGE,CHALLENGER,GRAY,p1343
v1271,02 - Automobile,2013,DODGE,CHALLENGER,GRAY,p1344
v1272,02 - Automobile,2007,ACURA,MDX,BLACK,p1358
v1273,06 - Heavy Duty Truck,2015,PETERBILT,ARMORED CAR,WHITE,p1371
v1274,02 - Automobile,2009,TOYOTA,CAMRY,SILVER,p1377
v1275,05 - Light Duty Truck,2011,JEEP,WRANGLER,BLACK,p1378
v1276,05 - Light Duty Truck,2011,JEEP,WRANGLER,BLACK,p1381
v1277,02 - Automobile,2008,CHEVY,MALIBU,SILVER,p1385
v1278,02 - Automobile,2016,TOYOTA,COROLLA,BLACK,p1399
v1279,02 - Automobile,2008,CHEVY,MALIBU,SILVER,p1409
v1280,02 - Automobile,2014,TOYOTA,4DR,GRAY,p1443
v1281,02 - Automobile,2002,BMW,745,WHITE,p1445
v1282,05 - Light Duty Truck,2013,GMC,SIERRA,SILVER,p1452
v1283,02 - Automobile,2007,TOYT,TK,TAN,p1457
v1284,02 - Automobile,2003,MERCEDES,C240,GOLD,p1459
v1285,06 - Heavy Duty Truck,2000,MACK,DUMP TK,WHITE,p1461
v1286,06 - Heavy Duty Truck,2000,MACK,DUMP TK,WHITE,p1472
v1287,06 - Heavy Duty Truck,2000,MACK,DUMP TK,WHITE,p1476
v1288,02 - Automobile,2008,BMW,335I,BLACK,p1488
v1289,02 - Automobile,2008,BMW,335I,BLACK,p1495
v1290,02 - Automobile,2008,BMW,335I,BLACK,p1502
v1291,03 - Station Wagon,2013,HYUND,SANTA FE,GRAY,p1509
v1292,08 - Recreational Vehicle,2007,HYUN,TK,"BLUE, LIGHT",p1525
v1293,02 - Automobile,1998,FORD,CONTOUR,SILVER,p1527
v1294,02 - Automobile,1998,FORD,CONTOUR,SILVER,p1532
v1295,02 - Automobile,2006,TOYT,SCION,SILVER,p1545
v1296,02 - Automobile,2008,HYUNDI,4S,WHITE,p1553
v1297,02 - Automobile,2007,BMW,328XI,WHITE,p1564
v1298,02 - Automobile,2010,HONDA,CIVIC,SILVER,p1567
v1299,02 - Automobile,2010,HONDA,CIVIC,SILVER,p1574
v1300,02 - Automobile,2008,ACURA,TL,SILVER,p1586
v1301,02 - Automobile,2008,ACURA,TL,SILVER,p1588
v1302,02 - Automobile,2003,CADI,4S,BLUE,p1591
v1303,02 - Automobile,2005,HOND,ACCORD,TAN,p1597
v1304,02 - Automobile,1997,MAZDA,PROTEGE,GOLD,p1599
v1305,02 - Automobile,1997,MAZDA,PROTEGE,GOLD,p1604
v1306,02 - Automobile,2014,TOYOTA,SIENNA,SILVER,p1607
v1307,02 - Automobile,2014,TOYOTA,SIENNA,SILVER,p1611
v1308,02 - Automobile,2014,DODGE,RAM VAN,WHITE,p1617
v1309,02 - Automobile,2012,DODG,4S,"BLUE, DARK",p1622
v1310,02 - Automobile,2008,HOND,CIVIC 4S,SILVER,p1632
v1311,02 - Automobile,2008,HOND,CIVIC 4S,SILVER,p1636
v1312,02 - Automobile,2008,HOND,CIVIC 4S,SILVER,p1640
v1313,02 - Automobile,2013,FORD,TAURUS,RED,p1650
v1314,02 - Automobile,2015,BMW,X3,WHITE,p1651
v1315,02 - Automobile,2015,BMW,X3,WHITE,p1652
v1316,02 - Automobile,2012,CHEVROLET,SILVERADO,WHITE,p1657
v1317,02 - Automobile,2012,CHEVROLET,SILVERADO,WHITE,p1662
v1318,05 - Light Duty Truck,2013,TOYO,TACOMA,WHITE,p1671
v1319,02 - Automobile,2013,HOND,2H,BLUE,p1682
v1320,02 - Automobile,2004,INFI,G35,SILVER,p1702
v1321,02 - Automobile,2004,VOLK,4S,SILVER,p1707
v1322,02 - Automobile,2003,NISSAN,ALTIMA,WHITE,p1729
v1323,02 - Automobile,2003,NISSAN,ALTIMA,WHITE,p1736
v1324,02 - Automobile,2013,TOYT,COROLLA,RED,p1744
v1325,02 - Automobile,2013,TOYT,COROLLA,RED,p1747
v1326,02 - Automobile,2013,TOYT,COROLLA,RED,p1749
v1327,02 - Automobile,2013,TOYT,COROLLA,RED,p1754
v1328,05 - Light Duty Truck,2016,HEVY,TK,WHITE,p1773
v1329,02 - Automobile,2013,NISSAN,ALTIMA,GRAY,p1795
v1330,02 - Automobile,2006,AUDI,A8,BLACK,p1798
v1331,02 - Automobile,2001,TOYOTA,SUV,RED,p1799
v1332,02 - Automobile,2004,HOND,ACCORD,BLACK,p1830
v1333,02 - Automobile,2009,HONDA,ACCORD 4DR,GOLD,p1831
v1334,02 - Automobile,2015,FORD,FOCUS,SILVER,p1834
v1335,02 - Automobile,2015,FORD,FOCUS,SILVER,p1839
v1336,02 - Automobile,2009,GMC,TRUCK,WHITE,p1840
v1337,02 - Automobile,2010,CHEVROLET,HHR,BLACK,p1846
v1338,02 - Automobile,2005,CHEV,2S,BLUE,p1850
v1339,02 - Automobile,2012,HONDA,CIVIC,GRAY,p1852
v1340,02 - Automobile,2010,DODG,4S,BLACK,p1853
v1341,02 - Automobile,2010,HOND,4S,SILVER,p1859
v1342,02 - Automobile,2012,HYUNDAI,GENESIS,WHITE,p1863
v1343,05 - Light Duty Truck,2007,FORD,F150,SILVER,p1872
v1344,02 - Automobile,2012,HYUNDAI,GENESIS,WHITE,p1891
v1345,02 - Automobile,2012,HYUNDAI,GENESIS,WHITE,p1909
v1346,02 - Automobile,2012,HYUNDAI,GENESIS,WHITE,p1910
v1347,02 - Automobile,2012,HYUNDAI,GENESIS,WHITE,p1917
v1348,02 - Automobile,2012,HYUNDAI,GENESIS,WHITE,p1918
v1349,02 - Automobile,2012,HYUNDAI,GENESIS,WHITE,p1930
v1350,02 - Automobile,2012,HYUNDAI,GENESIS,WHITE,p1931
v1351,02 - Automobile,2012,HYUNDAI,GENESIS,WHITE,p1937
