personid,dateofstop,timeofstop,agency,subagency,descrption,location,latitude,longitude,contributedaccident,belts,personalinjury,propertydamge,fatal,commerciallicense,hazmat,commericalvehicels,alcohol,workzone,accident
p1112,3/9/2013,3:30:00,MCP,"1st district, Rockville","NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY, LIFE AND PERSON",NORBECK RD / E. GUDE DR,39.086315,-77.13557667,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No
p1120,11/20/2015,21:32:00,MCP,"1st district, Rockville",POSSESSING SUSPENDED LIC.,VEIRS MILL RD @ ATLANTIC AVE,39.066515,-77.12767333,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No
p1125,10/8/2013,20:24:00,MCP,"1st district, Rockville",DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,28/BIG WOODS RD,39.21291912,-77.4301439,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No
p1130,6/25/2013,16:20:00,MCP,"1st district, Rockville",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,SENECA RD / DARNESTOWN RD,,,No,Yes,No,No,No,No,Yes,No,No,No,No
p1131,4/25/2016,7:00:00,MCP,"1st district, Rockville",EXCEEDING THE POSTED SPEED LIMIT OF 25 MPH,15000 BLK SPRING MEADOW DR W/B,39.101525,-77.307685,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No
p1144,4/17/2016,16:50:00,MCP,"1st district, Rockville",EXCEEDING MAXIMUM SPEED: 64 MPH IN A POSTED 40 MPH ZONE,MIDDLEBROOK RD / 270,38.99026167,-77.01934333,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No
p1147,9/7/2012,15:21:00,MCP,"1st district, Rockville",OPERATING A M/V WITH INADEQUATE TIRES ON OTHER THAN STEERING AXLE,N/B ROCKVILLE PIKE AT HALPINE LA.,39.06259175,-77.12429752,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes
p1154,5/20/2012,2:34:00,MCP,"1st district, Rockville",DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,VEIRS MILL RD / ASPEN HILL RD,39.0746588,-77.1152136,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes
p1157,9/9/2014,17:58:00,MCP,"1st district, Rockville",EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,DARNESTOWN RD/JERUSALEM RD,39.17538667,-77.40578667,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes
p1159,5/1/2016,16:29:00,MCP,"1st district, Rockville",EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,DICKERSON RD / MARTINSBURG RD,39.21314167,-77.43020667,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes
